Slice,Mean
1,14538.954
2,12960.593
3,11865.176
4,11011.917
5,10287.167
6,9633.898
7,9141.417
8,8645.731
9,8212.852
10,7807.306
11,7439.102
12,7122.898
13,6824.046
14,6556.491
15,6291.028
16,6057.815
17,5837.935
18,5628.454
19,5455.574
20,5260.769
21,5121.519
22,4977.296
23,4830.463
24,4688.519
25,4582.907
26,4548.676
27,4540.167
28,4551.565
29,4544.871
30,4527.852
31,4542.815
32,4527.731
33,4532.750
34,4515.954
35,4516.111
36,4514.306
37,4522.926
38,4505.741
39,4515.546
40,4506.546
41,4513.981
42,4501.833
43,4505.296
44,4511.231
45,4518.046
46,4513.213
47,4507.648
48,4515.629
49,4504.963
50,4506.741
51,4519.379
52,4517.694
53,4516.185
54,4525.750
55,4532.481
56,4514.657
57,4532.648
58,4510.935
59,4398.565
60,4310.704
61,4209.361
62,4123.759
63,4048.639
64,3972.204
65,3886.500
66,3821.065
67,3765.444
68,3703.926
69,3655.111
70,3604.611
71,3546.787
72,3500.593
73,3449.787
74,3420.222
75,3366.639
76,3339.398
77,3307.574
78,3268.565
79,3240.306
80,3215.250
81,3180.028
82,3155.046
83,3136.056
84,3109.981
85,3084.111
86,3063.648
87,3048.574
88,3005.528
89,3001.250
90,2981.546
91,2993.176
92,3042.944
93,3091.287
94,3137.222
95,3169.741
96,3225.648
97,3263.833
98,3297.611
99,3349.056
100,3377.296
101,3399.991
102,3458.926
103,3484.685
104,3507.028
105,3550.731
106,3589.944
107,3628.611
108,3642.593
109,3670.630
110,3719.509
111,3743.639
112,3762.759
113,3794.972
114,3816.148
115,3857.157
116,3862.583
117,3895.500
118,3925.093
119,3944.954
120,3978.491
121,3998.759
122,4021.657
123,4039.528
124,4006.278
125,3938.037
126,3861.176
127,3779.796
128,3734.037
129,3658.806
130,3606.926
131,3562.269
132,3519.009
133,3468.537
134,3433.935
135,3377.287
136,3353.250
137,3310.167
138,3291.454
139,3251.481
140,3223.056
141,3186.333
142,3179.139
143,3153.111
144,3113.722
145,3088.981
146,3089.269
147,3050.593
148,3025.102
149,3024.333
150,2990.981
151,2993.935
152,2964.028
153,2954.139
154,2927.296
155,2922.500
156,2920.157
157,2926.102
158,2965.185
159,3011.056
160,3064.472
161,3105.120
162,3159.491
163,3192.454
164,3248.130
165,3290.787
166,3337.500
167,3380.852
168,3403.380
169,3460.667
170,3508.898
171,3539.565
172,3560.694
173,3606.870
174,3631.509
175,3660.287
176,3697.787
177,3738.296
178,3757.204
179,3803.074
180,3831.343
181,3866.306
182,3885.972
183,3926.704
184,3935.213
185,3975.380
186,4013.676
187,4013.269
188,4031.769
189,4078.537
190,4081.954
191,4010.731
192,3920.278
193,3870.000
194,3802.935
195,3735.593
196,3704.352
197,3639.296
198,3578.231
199,3527.296
200,3493.694
201,3463.685
202,3415.111
203,3383.741
204,3331.009
205,3306.454
206,3274.972
207,3244.333
208,3217.806
209,3198.759
210,3169.593
211,3155.046
212,3127.963
213,3096.648
214,3085.157
215,3070.213
216,3047.056
217,3025.954
218,3015.046
219,2984.454
220,2975.833
221,2956.139
222,2963.028
223,2957.213
224,3020.907
225,3076.565
