Slice,Mean
1,16034.938
2,14226.704
3,12876.593
4,11799.186
5,10846.766
6,10036.654
7,9274.704
8,8654.111
9,8065.704
10,7528.556
11,7056.741
12,6555.173
13,6186.901
14,5835.346
15,5496.506
16,5217.667
17,4934.074
18,4684.864
19,4448.827
20,4234.358
21,4049.370
22,3853.469
23,3703.432
24,3557.765
25,3401.247
26,3327.704
27,3236.568
28,3151.383
29,3092.778
30,3018.988
31,2959.778
32,2903.333
33,2853.580
34,2806.605
35,2744.420
36,2676.642
37,2646.765
38,2609.593
39,2548.864
40,2528.358
41,2494.420
42,2461.346
43,2411.407
44,2386.531
45,2366.160
46,2314.679
47,2296.852
48,2275.086
49,2247.667
50,2218.975
51,2214.444
52,2182.716
53,2183.148
54,2143.741
55,2140.914
56,2127.160
57,2115.519
58,2080.531
59,2045.852
60,2010.679
61,1989.259
62,1951.580
63,1919.049
64,1895.988
65,1880.778
66,1846.333
67,1832.667
68,1800.605
69,1784.914
70,1762.790
71,1741.309
72,1725.790
73,1716.420
74,1697.333
75,1681.901
76,1663.457
77,1647.062
78,1651.235
79,1631.457
80,1623.161
81,1601.654
82,1587.864
83,1579.654
84,1567.506
85,1566.963
86,1550.148
87,1537.914
88,1536.099
89,1518.284
90,1511.037
91,1508.111
92,1509.630
93,1532.506
94,1523.951
95,1535.222
96,1526.654
97,1530.790
98,1540.272
99,1544.827
100,1549.593
101,1546.296
102,1541.481
103,1550.086
104,1541.654
105,1554.556
106,1558.025
107,1556.765
108,1556.407
109,1560.926
110,1553.062
111,1552.605
112,1556.395
113,1556.111
114,1558.395
115,1550.198
116,1549.074
117,1555.531
118,1546.654
119,1558.358
120,1562.494
121,1558.556
122,1552.185
123,1551.963
124,1534.630
125,1530.667
126,1523.284
127,1495.630
128,1488.309
129,1472.877
130,1463.926
131,1463.765
132,1444.407
133,1429.296
134,1427.790
135,1428.617
136,1422.123
137,1411.161
138,1397.161
139,1399.765
140,1387.420
141,1381.704
142,1380.839
143,1379.864
144,1363.704
145,1362.284
146,1358.778
147,1359.346
148,1351.691
149,1344.284
150,1337.506
151,1335.951
152,1331.630
153,1336.037
154,1329.926
155,1321.642
156,1322.630
157,1315.519
158,1326.605
159,1333.012
160,1341.284
161,1341.012
162,1360.247
163,1349.444
164,1357.037
165,1367.247
166,1377.901
167,1381.136
168,1395.012
169,1392.358
170,1390.247
171,1397.642
172,1399.420
173,1409.531
174,1411.086
175,1407.963
176,1406.222
177,1407.161
178,1416.049
179,1419.037
180,1420.975
181,1422.728
182,1433.531
183,1431.185
184,1445.395
185,1434.716
186,1436.198
187,1436.025
188,1438.309
189,1441.247
190,1440.963
191,1425.531
192,1411.864
193,1401.679
194,1400.346
195,1370.259
196,1372.284
197,1368.346
198,1362.802
199,1356.951
200,1345.210
201,1343.309
202,1345.370
203,1324.148
204,1321.827
205,1317.531
206,1321.049
207,1313.568
208,1306.222
209,1315.506
210,1298.926
211,1290.222
212,1290.272
213,1290.346
214,1285.173
215,1284.506
216,1282.185
217,1277.099
218,1274.642
219,1277.272
220,1273.519
221,1268.037
222,1265.556
223,1269.531
224,1285.914
225,1290.716
226,1299.839
227,1304.037
228,1314.099
229,1325.506
230,1336.235
231,1334.037
232,1338.049
233,1356.086
234,1348.938
235,1352.827
236,1359.691
237,1368.654
238,1367.963
239,1367.741
240,1377.210
241,1373.086
242,1388.432
243,1382.642
244,1398.346
245,1395.951
246,1396.519
247,1396.815
248,1400.247
249,1410.444
250,1414.988
251,1405.444
252,1412.210
253,1424.593
254,1432.235
255,1428.074
256,1412.827
257,1407.605
258,1399.272
259,1389.210
260,1368.012
261,1367.420
262,1356.519
263,1352.222
264,1344.000
265,1348.963
266,1336.296
267,1333.272
268,1323.728
269,1310.617
270,1318.889
271,1317.630
272,1306.086
273,1301.321
274,1300.370
275,1295.037
276,1299.543
277,1281.210
278,1295.272
279,1281.457
280,1280.617
281,1289.494
282,1275.173
283,1266.025
284,1272.667
285,1271.654
286,1265.716
287,1271.123
288,1275.716
289,1262.765
290,1270.235
291,1286.086
292,1295.086
293,1300.753
294,1310.988
295,1316.741
296,1329.531
297,1332.358
298,1349.136
299,1352.049
300,1347.679
301,1361.704
302,1355.000
303,1362.951
304,1384.235
305,1380.272
306,1386.667
307,1380.580
308,1396.593
309,1398.185
310,1398.605
311,1407.839
312,1409.284
313,1414.099
314,1427.235
315,1429.691
316,1419.333
317,1430.716
318,1425.370
319,1431.938
320,1434.630
321,1436.938
322,1427.716
323,1428.173
324,1414.123
325,1407.741
326,1388.691
327,1395.395
328,1377.988
329,1369.901
330,1365.444
331,1366.432
332,1357.272
333,1345.012
334,1344.938
335,1332.346
336,1332.222
337,1321.951
338,1330.951
339,1319.827
340,1315.037
341,1313.321
342,1306.914
343,1307.321
344,1303.161
345,1299.383
346,1303.506
347,1296.321
348,1292.901
349,1293.506
350,1293.296
351,1282.753
352,1282.296
353,1286.519
354,1286.123
355,1287.889
356,1287.222
357,1302.272
358,1304.901
359,1323.099
360,1331.494
361,1331.284
362,1341.815
363,1344.543
364,1357.679
365,1361.543
366,1364.395
367,1372.605
368,1394.679
369,1388.691
370,1388.765
371,1409.543
372,1422.407
373,1406.580
374,1419.136
375,1421.198
376,1425.469
377,1434.333
378,1437.025
379,1434.593
380,1438.802
381,1442.272
382,1449.617
383,1448.691
384,1454.753
385,1464.914
386,1474.012
387,1460.383
388,1469.309
389,1459.037
390,1447.506
391,1434.111
392,1435.951
393,1415.864
394,1405.086
395,1392.259
396,1388.469
397,1387.519
398,1382.111
399,1379.642
400,1369.494
401,1364.111
402,1360.790
403,1347.605
404,1343.432
405,1339.333
406,1341.074
407,1332.728
408,1332.161
409,1327.333
410,1326.222
411,1327.667
412,1320.815
413,1318.765
414,1314.679
415,1319.864
416,1319.185
417,1310.000
418,1307.704
419,1302.975
420,1298.370
421,1304.062
422,1317.975
423,1316.815
424,1337.420
