Slice,Mean
1,11704.201
2,9444.646
3,8041.549
4,7064.111
5,6266.139
6,5675.035
7,5194.542
8,4784.840
9,4457.556
10,4196.701
11,3949.153
12,3750.007
13,3596.722
14,3438.778
15,3318.972
16,3213.653
17,3115.583
18,3059.493
19,2986.125
20,2938.153
21,2876.201
22,2839.889
23,2804.007
24,2770.569
25,2745.069
26,2834.361
27,2943.562
28,3044.833
29,3141.146
30,3229.590
31,3296.174
32,3360.618
33,3435.347
34,3511.806
35,3544.944
36,3606.486
37,3649.785
38,3701.979
39,3737.660
40,3791.215
41,3802.965
42,3846.938
43,3867.931
44,3911.104
45,3931.299
46,3959.986
47,3976.493
48,3996.361
49,4019.076
50,4027.681
51,4058.875
52,4071.875
53,4091.257
54,4097.090
55,4109.299
56,4113.632
57,4123.229
58,4121.076
59,3897.653
60,3706.076
61,3541.576
62,3397.312
63,3291.576
64,3189.903
65,3095.181
66,3021.056
67,2952.722
68,2895.771
69,2839.958
70,2791.389
71,2758.326
72,2715.590
73,2692.604
74,2666.986
75,2631.764
76,2627.431
77,2608.243
78,2592.910
79,2574.396
80,2565.160
81,2560.535
82,2544.535
83,2535.201
84,2529.410
85,2530.715
86,2519.451
87,2512.562
88,2509.243
89,2505.840
90,2501.667
91,2519.312
92,2661.222
93,2761.035
94,2853.972
95,2937.951
96,3031.174
97,3107.257
98,3192.014
99,3243.542
100,3293.903
101,3361.410
102,3419.549
103,3464.194
104,3513.986
105,3557.201
106,3583.319
107,3627.312
108,3661.257
109,3690.451
110,3734.778
111,3739.458
112,3769.576
113,3781.972
114,3819.972
115,3831.632
116,3854.799
117,3886.910
118,3895.910
119,3915.354
120,3918.424
121,3930.375
122,3938.479
123,3956.944
124,3831.667
125,3648.118
126,3479.694
127,3345.972
128,3226.340
129,3127.431
130,3041.542
131,2943.285
132,2879.299
133,2836.181
134,2778.931
135,2721.194
136,2692.562
137,2656.917
138,2617.701
139,2586.604
140,2566.722
141,2543.444
142,2521.014
143,2503.750
144,2485.667
145,2477.854
146,2465.708
147,2446.208
148,2444.715
149,2434.556
150,2433.910
151,2420.910
152,2407.215
153,2408.368
154,2392.451
155,2381.292
156,2394.882
157,2411.083
158,2488.764
159,2594.271
160,2674.174
161,2765.271
162,2851.354
163,2922.229
164,2980.646
165,3034.021
166,3103.132
167,3155.924
168,3196.146
169,3251.493
170,3301.694
171,3333.528
172,3368.347
173,3404.479
174,3434.028
175,3459.819
176,3498.160
177,3534.569
178,3552.208
179,3585.757
180,3600.812
181,3613.556
182,3623.146
183,3648.799
184,3671.021
185,3685.028
186,3696.972
187,3717.667
188,3721.285
189,3741.097
190,3722.326
191,3549.993
192,3383.778
193,3257.167
194,3132.896
195,3040.597
196,2949.167
197,2871.042
198,2793.736
199,2737.389
200,2688.500
201,2646.660
202,2594.646
203,2556.465
204,2526.083
205,2497.493
206,2470.076
207,2450.646
208,2439.257
209,2405.125
210,2395.139
211,2384.354
212,2370.486
213,2352.035
214,2329.639
215,2332.597
216,2315.715
217,2310.674
218,2313.535
219,2301.743
220,2299.854
221,2282.090
222,2276.181
223,2302.535
224,2418.979
225,2503.111
226,2584.875
227,2654.194
228,2724.472
229,2785.854
230,2853.944
231,2905.549
232,2955.438
233,3001.062
234,3049.847
235,3089.611
236,3139.660
237,3183.340
238,3211.056
239,3240.111
240,3278.340
241,3292.597
242,3316.431
243,3353.931
244,3374.069
245,3387.639
246,3422.354
247,3432.861
248,3438.875
249,3462.944
250,3481.368
251,3496.660
252,3512.583
253,3529.090
254,3536.903
255,3541.583
256,3430.771
257,3289.604
258,3159.375
259,3045.090
260,2944.528
261,2844.354
262,2779.306
263,2705.090
264,2660.014
265,2602.104
266,2551.792
267,2509.111
268,2472.222
269,2433.271
270,2397.590
271,2379.715
272,2352.562
273,2340.139
274,2300.306
275,2291.792
276,2285.347
277,2281.611
278,2268.431
279,2245.576
280,2236.375
281,2235.938
282,2211.688
283,2202.396
284,2205.562
285,2203.979
286,2203.882
287,2186.986
288,2186.694
289,2208.528
290,2260.431
291,2340.931
292,2405.049
293,2492.549
294,2555.660
295,2614.396
296,2678.576
297,2717.569
298,2774.847
299,2817.688
300,2879.049
301,2902.021
302,2937.042
303,2977.958
304,3011.750
305,3045.472
306,3069.368
307,3101.174
308,3128.042
309,3150.083
310,3176.285
311,3201.549
312,3222.778
313,3240.375
314,3247.847
315,3269.312
316,3275.701
317,3302.153
318,3310.347
319,3325.514
320,3341.910
321,3346.208
322,3327.472
323,3192.757
324,3049.111
325,2941.576
326,2852.590
327,2772.562
328,2695.132
329,2622.889
330,2564.514
331,2513.861
332,2467.597
333,2423.472
334,2383.285
335,2346.917
336,2328.944
337,2306.889
338,2272.257
339,2251.118
340,2238.417
341,2219.312
342,2204.389
343,2194.160
344,2185.167
345,2168.924
346,2161.799
347,2160.014
348,2147.708
349,2149.556
350,2143.292
351,2131.944
352,2119.396
353,2121.222
354,2113.694
355,2128.556
356,2138.889
357,2215.375
358,2296.583
359,2349.451
360,2416.535
361,2469.833
362,2530.201
363,2582.667
364,2630.076
365,2676.451
366,2724.819
367,2752.833
368,2792.507
369,2823.306
370,2852.924
371,2883.736
372,2921.076
373,2938.632
374,2968.215
375,2995.535
376,3002.222
377,3030.639
378,3064.569
379,3077.757
380,3087.403
381,3111.368
382,3115.882
383,3144.090
384,3148.535
385,3165.361
386,3175.757
387,3195.826
388,3198.132
389,3099.854
390,2968.542
391,2868.507
392,2769.062
393,2684.597
394,2606.479
395,2540.722
396,2479.694
397,2418.438
398,2383.576
399,2348.312
400,2299.896
401,2268.396
402,2245.062
403,2208.764
404,2182.424
405,2173.847
406,2150.910
407,2131.889
408,2114.493
409,2110.653
410,2097.056
411,2089.771
412,2078.347
413,2073.236
414,2061.444
415,2037.646
416,2041.299
417,2037.757
418,2038.625
419,2037.229
420,2028.556
421,2023.035
422,2079.951
423,2160.729
424,2207.639
425,2256.646
426,2323.215
427,2371.076
428,2425.312
429,2478.465
430,2517.104
431,2554.542
432,2589.583
433,2620.896
434,2663.146
435,2694.938
436,2719.965
437,2751.264
438,2764.792
439,2796.493
440,2818.174
441,2843.681
442,2867.694
443,2887.236
444,2898.819
445,2921.549
446,2932.292
447,2943.354
448,2962.736
449,2969.764
450,2991.403
451,3001.049
452,3007.000
453,3020.521
454,3002.986
455,2868.521
456,2762.389
457,2662.479
458,2585.674
459,2518.847
460,2449.694
461,2385.299
462,2328.812
463,2288.139
464,2248.583
465,2210.819
466,2176.562
467,2155.799
468,2135.958
469,2110.757
470,2095.764
471,2070.778
472,2053.875
473,2037.285
474,2027.194
475,2012.319
476,2003.319
477,1999.306
478,1990.181
479,1984.319
480,1981.069
481,1963.257
482,1966.854
483,1951.806
484,1953.326
485,1948.417
486,1943.528
487,1957.979
488,1973.729
489,2024.979
490,2076.917
491,2135.062
492,2182.951
493,2233.257
494,2277.569
495,2323.451
496,2361.278
497,2401.215
498,2440.750
