Slice,Mean
1,603.193
2,586.932
3,576.062
4,569.078
5,562.283
6,557.255
7,553.891
8,549.733
9,549.525
10,550.230
11,542.708
12,545.879
13,542.689
14,540.618
15,538.602
16,537.224
17,533.798
18,534.348
19,532.158
20,531.450
21,532.829
22,526.978
23,527.882
24,527.379
25,528.230
26,526.090
27,526.745
28,524.525
29,524.721
30,524.134
31,524.789
32,523.478
33,524.087
34,523.227
35,522.550
36,521.478
37,520.727
38,518.488
39,520.786
40,522.304
41,522.444
42,518.155
43,516.519
44,517.022
45,517.062
46,514.739
47,516.845
48,514.065
49,515.724
50,516.888
51,517.292
52,514.975
53,513.733
54,516.211
55,514.360
56,511.854
57,511.807
58,510.003
59,507.115
60,512.938
61,507.068
62,508.997
63,506.842
64,507.332
65,507.748
66,504.152
67,505.382
68,502.540
69,503.450
70,502.947
71,502.674
72,503.335
73,498.711
74,500.326
75,500.556
76,500.307
77,498.832
78,498.236
79,498.031
80,497.317
81,499.180
82,496.780
83,496.099
84,498.394
85,496.547
86,496.913
87,494.835
88,496.214
89,491.425
90,495.733
91,495.295
92,493.270
93,494.174
94,494.304
95,491.857
96,493.991
97,492.730
98,494.264
99,495.034
100,494.621
101,491.025
102,492.590
103,492.829
104,492.540
105,495.093
106,494.040
107,492.789
108,492.438
109,490.618
110,490.152
111,487.935
112,489.053
113,489.705
114,490.947
115,489.720
116,492.211
117,489.885
118,491.224
119,489.960
120,493.863
121,488.528
122,487.469
123,487.866
124,488.770
125,489.742
126,487.565
127,485.742
128,484.317
129,485.876
130,485.283
131,484.366
132,482.711
133,483.960
134,484.416
135,485.134
136,483.062
137,482.224
138,483.332
139,481.410
140,482.857
141,480.677
142,481.385
143,483.559
144,481.248
145,479.087
146,479.205
147,481.149
148,479.835
149,479.078
150,478.158
151,479.891
152,480.335
153,480.593
154,477.811
155,476.516
156,475.891
157,473.537
158,476.130
159,480.559
160,481.075
161,477.388
162,476.171
163,478.261
164,475.786
165,476.975
166,479.748
167,476.525
168,477.230
169,479.991
170,477.301
171,476.786
172,480.168
173,477.618
174,477.596
175,478.960
176,476.817
177,474.571
178,477.562
179,477.547
180,475.556
181,476.202
182,476.820
183,476.404
184,478.025
185,476.919
186,476.944
187,476.043
188,475.649
189,477.068
190,477.655
191,478.857
192,473.509
193,471.683
194,474.047
195,473.239
196,473.745
197,472.904
198,470.342
199,473.121
200,474.683
201,469.745
202,471.370
203,469.003
204,469.152
205,472.047
206,470.376
207,469.233
208,465.161
209,469.860
210,468.360
211,464.354
212,469.786
213,466.950
214,467.742
215,469.003
216,468.025
217,465.146
218,464.702
219,466.422
220,467.112
221,462.863
222,463.280
223,461.811
224,465.981
225,464.488
226,466.826
227,465.112
228,462.817
229,464.925
230,463.516
231,465.419
232,465.457
233,465.130
234,464.953
235,465.705
236,467.034
237,464.587
238,466.615
239,462.062
240,465.059
241,466.003
242,467.578
243,464.146
244,465.429
245,466.419
246,462.873
247,462.152
248,466.075
249,465.398
250,463.845
251,464.839
252,465.248
253,465.252
254,467.612
255,461.696
256,462.748
257,464.354
258,462.227
259,462.301
260,462.307
261,462.441
262,462.581
263,459.106
264,462.478
265,460.960
266,457.807
267,463.478
268,459.022
269,461.587
270,459.307
271,457.978
272,459.550
273,457.174
274,459.780
275,459.025
276,457.081
277,456.842
278,457.457
279,455.571
280,457.165
281,458.258
282,457.006
283,459.494
284,456.078
285,456.568
286,456.379
287,455.186
288,458.379
289,454.553
290,456.702
291,455.689
292,454.845
293,456.922
294,456.773
295,459.276
296,454.432
297,456.997
298,456.748
299,457.286
300,457.376
301,456.497
302,459.472
303,457.711
304,457.407
305,455.618
306,457.087
307,456.469
308,457.037
309,455.109
310,454.811
311,456.795
312,456.404
313,457.702
314,455.509
315,456.295
316,455.674
317,455.339
318,454.786
319,455.823
320,455.851
321,456.640
322,456.146
323,455.345
324,456.466
325,453.702
326,455.565
327,454.441
328,454.525
329,457.037
330,455.481
331,451.242
332,452.385
333,451.261
334,450.879
335,450.655
336,449.839
337,452.053
338,450.053
339,448.068
340,450.845
341,452.329
342,447.065
343,449.637
344,450.804
345,450.314
346,450.019
347,445.991
348,447.708
349,446.823
350,447.876
351,449.543
352,446.733
353,449.730
354,447.658
355,445.565
356,443.519
357,447.742
358,449.727
359,449.118
360,446.798
361,448.394
362,447.798
363,447.832
364,447.581
365,448.339
366,445.637
367,449.686
368,449.413
369,447.562
370,448.643
371,449.702
372,447.776
373,448.149
374,447.730
375,446.845
376,446.339
377,447.286
378,447.863
379,449.854
380,444.702
381,448.668
382,445.981
383,446.224
384,445.559
385,448.410
386,447.019
387,447.643
388,448.373
389,446.149
390,446.236
