Slice,Mean
1,13739.652
2,13007.875
3,12508.083
4,12105.736
5,11787.402
6,11474.181
7,11230.027
8,10987.361
9,10730.806
10,10538.014
11,10340.473
12,10142.348
13,10001.833
14,9846.819
15,9701.042
16,9564.125
17,9413.902
18,9285.833
19,9156.056
20,9081.375
21,8937.444
22,8797.777
23,8704.389
24,8626.375
25,8485.306
26,8436.931
27,8371.236
28,8287.306
29,8219.639
30,8167.056
31,8071.458
32,8047.972
33,7972.236
34,7920.444
35,7839.153
36,7788.389
37,7748.083
38,7676.431
39,7626.181
40,7569.014
41,7519.986
42,7453.542
43,7425.542
44,7371.181
45,7310.083
46,7291.042
47,7216.389
48,7185.597
49,7163.361
50,7081.181
51,7054.222
52,7032.694
53,6992.806
54,6950.375
55,6929.792
56,6875.903
57,6822.931
58,6815.625
59,6751.181
60,6706.806
61,6670.986
62,6618.847
63,6561.444
64,6559.014
65,6520.708
66,6464.292
67,6445.500
68,6401.431
69,6355.458
70,6326.694
71,6299.264
72,6271.444
73,6242.583
74,6214.847
75,6162.111
76,6150.333
77,6115.972
78,6073.708
79,6063.042
80,6052.583
81,6036.472
82,5981.917
83,5947.111
84,5926.639
85,5911.306
86,5883.181
87,5861.667
88,5836.361
89,5818.264
90,5789.125
91,5770.708
92,5729.500
93,5753.375
94,5717.556
95,5701.347
96,5700.708
97,5690.972
98,5671.986
99,5652.056
100,5619.819
101,5609.597
102,5594.167
103,5598.069
104,5590.181
105,5560.194
106,5543.736
107,5546.375
108,5524.972
109,5513.097
110,5515.986
111,5494.028
112,5473.583
113,5483.486
114,5463.889
115,5441.889
116,5439.514
117,5434.750
118,5414.389
119,5425.944
120,5394.000
121,5363.903
122,5374.722
123,5389.056
124,5361.903
125,5316.333
126,5316.000
127,5307.000
128,5288.236
129,5260.708
130,5277.014
131,5246.125
132,5232.208
133,5209.194
134,5178.528
135,5193.792
136,5178.472
137,5174.681
138,5153.583
139,5130.958
140,5123.083
141,5127.792
142,5120.347
143,5109.403
144,5103.083
145,5079.861
146,5076.931
147,5055.903
148,5039.278
149,5034.042
150,5041.306
151,5020.250
152,5001.903
153,4990.139
154,5006.806
155,4971.667
156,4947.000
157,4975.722
158,4970.236
159,4954.361
160,4969.833
161,4946.319
162,4943.472
163,4924.375
164,4942.319
165,4933.278
166,4940.611
167,4932.556
168,4940.056
169,4925.347
170,4897.014
171,4886.583
172,4912.458
173,4900.583
174,4900.153
175,4880.653
176,4866.167
177,4884.931
178,4884.139
179,4883.444
180,4876.639
181,4867.625
182,4862.167
183,4860.319
184,4861.792
185,4858.222
186,4841.889
187,4855.653
188,4846.611
189,4812.569
190,4816.625
191,4825.667
192,4808.194
193,4796.639
194,4801.542
195,4789.917
196,4780.444
197,4775.889
198,4779.264
199,4760.111
200,4758.958
201,4750.306
202,4744.403
203,4739.056
204,4729.181
205,4731.778
206,4732.097
207,4727.917
208,4699.042
209,4707.917
210,4720.542
211,4703.153
212,4704.028
213,4652.472
214,4672.847
215,4686.153
216,4648.653
217,4653.958
218,4638.694
219,4630.917
220,4629.667
221,4627.667
222,4614.556
223,4634.278
224,4631.597
225,4604.972
226,4625.528
227,4621.875
228,4626.764
229,4628.847
230,4617.417
231,4614.917
232,4623.792
233,4585.264
234,4604.389
235,4610.917
236,4608.028
237,4611.806
238,4582.819
239,4608.667
240,4612.000
241,4614.569
242,4597.250
243,4624.583
244,4619.500
245,4610.736
246,4580.861
247,4607.931
248,4592.736
249,4600.042
250,4609.528
251,4602.389
252,4585.972
253,4597.778
254,4586.667
255,4592.472
256,4576.597
257,4573.264
258,4557.972
259,4561.472
260,4560.972
261,4574.417
262,4536.014
263,4580.736
264,4547.986
265,4555.250
266,4534.681
267,4540.639
268,4525.458
269,4512.556
270,4534.917
271,4523.028
272,4518.792
273,4518.542
274,4525.153
275,4498.514
276,4490.583
277,4496.361
278,4503.958
279,4488.667
280,4473.861
281,4487.667
282,4476.139
283,4476.014
284,4469.236
285,4447.417
286,4483.611
287,4455.250
288,4440.222
289,4454.250
290,4458.167
291,4461.222
292,4452.319
293,4473.722
294,4477.792
295,4454.889
296,4461.194
297,4482.000
298,4466.500
299,4467.514
300,4460.375
301,4462.514
302,4462.028
303,4477.694
304,4483.708
305,4454.056
306,4463.111
307,4478.889
308,4465.403
309,4460.292
310,4474.750
311,4448.694
312,4471.000
313,4464.306
314,4483.069
315,4471.806
316,4466.167
317,4465.875
318,4463.806
319,4472.472
320,4477.208
321,4454.958
322,4458.625
323,4460.319
324,4471.236
325,4437.681
326,4462.833
327,4449.292
328,4441.111
329,4456.472
330,4467.000
331,4436.361
332,4431.278
333,4425.069
334,4430.903
335,4429.889
336,4419.972
337,4434.528
338,4459.292
339,4431.153
340,4429.972
341,4406.944
342,4416.514
343,4429.556
344,4412.167
345,4419.208
346,4404.875
347,4386.694
348,4399.319
349,4406.944
350,4404.653
351,4393.861
352,4412.083
353,4372.972
354,4393.722
355,4365.667
356,4395.708
357,4381.806
358,4406.042
359,4381.486
360,4393.667
361,4396.958
362,4409.306
363,4404.625
364,4390.889
365,4393.056
366,4389.028
367,4407.431
368,4410.375
369,4406.250
370,4404.694
371,4415.083
372,4404.681
373,4410.333
374,4402.986
375,4416.361
376,4414.889
377,4411.708
378,4422.694
379,4432.764
380,4423.417
381,4418.931
382,4427.083
383,4424.208
384,4431.861
385,4423.833
386,4427.292
387,4405.806
388,4406.986
389,4428.917
390,4422.917
391,4395.167
392,4418.292
393,4420.167
394,4412.931
395,4409.042
396,4406.014
397,4409.458
398,4385.458
399,4413.292
400,4392.403
401,4418.097
402,4405.264
403,4395.931
404,4388.847
405,4359.972
406,4406.153
407,4386.486
408,4392.639
409,4385.306
410,4392.319
411,4387.431
412,4391.597
413,4378.333
414,4389.931
415,4380.250
416,4391.375
417,4373.667
418,4381.931
419,4385.514
420,4375.958
421,4363.181
422,4361.639
423,4353.375
424,4381.264
425,4365.194
426,4374.222
427,4357.403
428,4377.333
429,4394.778
430,4381.472
431,4391.514
432,4397.639
433,4388.264
434,4394.431
435,4419.417
436,4394.153
437,4391.875
438,4389.917
439,4398.500
440,4392.222
441,4402.972
442,4395.097
443,4398.694
444,4411.792
445,4412.403
446,4416.556
447,4412.875
448,4422.250
449,4418.194
450,4425.736
451,4409.472
452,4410.375
453,4429.292
454,4427.000
455,4429.681
456,4422.375
457,4397.722
458,4407.236
459,4398.806
460,4417.681
461,4416.931
462,4423.306
463,4404.458
464,4404.000
465,4403.875
466,4406.833
467,4386.764
468,4392.861
469,4400.944
470,4398.486
471,4385.403
472,4397.361
473,4388.819
474,4383.153
475,4368.361
476,4400.569
477,4406.958
478,4386.417
479,4391.639
480,4369.597
481,4392.750
482,4391.736
483,4380.972
484,4356.875
485,4377.597
486,4383.889
487,4379.875
488,4382.306
489,4380.431
490,4379.792
491,4377.653
492,4403.306
493,4394.708
494,4406.444
495,4383.875
496,4381.111
497,4409.181
498,4403.750
