Slice,Mean
457,4660.286
458,4583.729
459,4501.957
460,4455.286
461,4417.229
462,4366.443
463,4317.857
464,4253.543
465,4202.986
466,4171.500
467,4144.457
468,4101.671
469,4057.729
470,4024.986
471,4000.986
472,3966.643
473,3942.643
474,3912.614
475,3889.943
476,3858.629
477,3820.100
478,3832.100
479,3794.157
480,3786.386
481,3763.100
482,3742.343
483,3729.157
484,3711.914
485,3691.814
486,3683.957
487,3684.000
488,3695.771
489,3748.000
490,3807.686
491,3857.229
492,3877.928
493,3938.771
494,3990.643
495,4004.700
496,4077.971
497,4114.600
498,4148.114
