Slice,Mean
1,12817.878
2,10215.422
3,8547.134
4,7370.278
5,6403.200
6,5621.589
7,4992.600
8,4494.222
9,4071.733
10,3717.333
11,3411.867
12,3160.911
13,2960.700
14,2779.767
15,2623.422
16,2507.444
17,2383.400
18,2303.589
19,2225.989
20,2140.311
21,2090.633
22,2044.978
23,2008.956
24,1962.767
25,1941.156
26,2018.900
27,2097.333
28,2184.489
29,2254.844
30,2326.411
31,2399.511
32,2473.111
33,2534.089
34,2590.633
35,2640.822
36,2684.011
37,2740.511
38,2772.145
39,2820.467
40,2855.967
41,2893.633
42,2927.667
43,2952.367
44,2977.656
45,3019.389
46,3040.733
47,3063.344
48,3071.756
49,3097.333
50,3129.544
51,3139.000
52,3156.100
53,3172.567
54,3189.944
55,3200.733
56,3231.689
57,3227.678
58,3214.956
59,3026.278
60,2853.978
61,2704.111
62,2578.311
63,2462.400
64,2390.256
65,2306.222
66,2232.433
67,2182.589
68,2125.256
69,2070.567
70,2045.700
71,1998.867
72,1978.322
73,1954.578
74,1931.267
75,1926.167
76,1903.844
77,1896.533
78,1878.444
79,1869.989
80,1871.000
81,1865.089
82,1855.544
83,1850.756
84,1844.078
85,1846.444
86,1846.233
87,1829.422
88,1835.211
89,1826.989
90,1832.722
91,1861.867
92,1962.211
93,2047.533
94,2138.222
95,2215.044
96,2277.167
97,2374.944
98,2418.544
99,2484.044
100,2546.833
101,2602.678
102,2642.944
103,2696.667
104,2742.000
105,2780.733
106,2809.844
107,2851.100
108,2888.822
109,2915.233
110,2955.900
111,2973.400
112,2994.578
113,3034.333
114,3048.556
115,3066.022
116,3093.145
117,3105.511
118,3123.589
119,3141.411
120,3158.744
121,3174.300
122,3183.244
123,3192.067
124,3080.433
125,2901.411
126,2761.389
127,2638.422
128,2523.667
129,2420.733
130,2343.022
131,2262.145
132,2204.944
133,2160.756
134,2113.211
135,2073.422
136,2030.556
137,2000.922
138,1984.522
139,1956.300
140,1937.922
141,1922.022
142,1914.000
143,1900.600
144,1890.000
145,1870.589
146,1872.733
147,1864.911
148,1853.456
149,1857.833
150,1853.456
151,1857.644
152,1851.689
153,1833.778
154,1829.044
155,1841.744
156,1843.522
157,1857.867
158,1907.767
159,1998.511
160,2083.878
161,2155.111
162,2221.367
163,2288.111
164,2365.033
165,2424.378
166,2467.178
167,2520.678
168,2578.567
169,2627.056
170,2663.222
171,2698.011
172,2741.544
173,2776.378
174,2801.711
175,2841.344
176,2879.789
177,2909.289
178,2915.689
179,2954.178
