Slice,Mean
1,10587.139
2,9874.792
3,9357.681
4,8927.569
5,8545.777
6,8229.542
7,7903.514
8,7616.375
9,7375.792
10,7142.861
11,6896.431
12,6698.389
13,6511.542
14,6325.472
15,6168.847
16,5994.069
17,5841.194
18,5727.806
19,5583.111
20,5462.403
21,5331.361
22,5213.917
23,5115.681
24,5013.792
25,4891.153
26,4832.278
27,4744.500
28,4682.042
29,4622.611
30,4553.556
31,4475.917
32,4448.194
33,4361.722
34,4299.569
35,4251.000
36,4194.625
37,4141.639
38,4088.486
39,4043.542
40,3990.931
41,3939.167
42,3897.847
43,3855.042
44,3798.167
45,3767.722
46,3729.653
47,3683.708
48,3653.056
49,3613.514
50,3578.667
51,3553.708
52,3519.889
53,3481.278
54,3429.833
55,3412.056
56,3377.542
57,3359.250
58,3329.917
59,3287.222
60,3233.958
61,3219.528
62,3187.444
63,3155.542
64,3100.083
65,3076.569
66,3036.431
67,3017.125
68,2980.014
69,2944.944
70,2929.236
71,2913.028
72,2898.389
73,2839.514
74,2828.889
75,2804.542
76,2771.597
77,2739.500
78,2729.542
79,2694.319
80,2664.875
81,2644.472
82,2626.750
83,2587.458
84,2562.750
85,2564.542
86,2534.167
87,2532.125
88,2506.194
89,2477.083
90,2459.181
91,2436.097
92,2427.764
93,2414.694
94,2411.347
95,2381.069
96,2379.847
97,2374.819
98,2351.014
99,2348.847
100,2341.431
101,2322.014
102,2335.125
103,2315.375
104,2304.319
105,2288.736
106,2283.819
107,2279.514
108,2257.375
109,2247.292
110,2245.208
111,2230.139
112,2226.542
113,2209.389
114,2219.986
115,2196.375
116,2201.208
117,2178.556
118,2177.875
119,2165.264
120,2164.153
121,2159.931
122,2141.917
123,2132.806
124,2138.944
125,2112.792
126,2107.403
127,2107.069
128,2079.125
129,2067.931
130,2058.806
131,2066.194
132,2043.125
133,2036.375
134,2028.639
135,2024.722
136,2023.236
137,1997.181
138,1979.181
139,1984.847
140,1968.083
141,1966.528
142,1957.750
143,1938.306
144,1927.097
145,1930.347
146,1905.875
147,1902.236
148,1900.042
149,1893.708
150,1884.667
151,1868.028
152,1852.542
153,1857.972
154,1857.875
155,1847.375
156,1837.569
157,1836.417
158,1829.861
159,1832.528
160,1825.306
161,1825.764
162,1820.806
163,1815.528
164,1810.194
165,1804.764
166,1803.444
167,1797.708
168,1800.306
169,1789.750
170,1786.403
171,1785.778
172,1777.722
173,1787.472
174,1782.389
175,1762.375
176,1766.819
177,1775.708
178,1762.931
179,1760.403
180,1755.056
181,1752.875
182,1744.792
183,1745.681
184,1752.542
185,1741.708
186,1737.625
187,1726.764
188,1711.444
189,1727.806
190,1719.806
191,1714.847
192,1717.764
193,1716.708
194,1693.625
195,1692.361
196,1677.472
197,1681.042
198,1660.611
199,1671.111
200,1663.708
201,1661.306
202,1648.444
203,1646.042
204,1639.028
205,1633.153
206,1627.875
207,1634.847
208,1615.556
209,1613.431
210,1616.806
211,1608.097
212,1601.931
213,1605.625
214,1591.375
215,1589.736
216,1580.236
217,1576.611
218,1570.403
219,1577.208
220,1556.764
221,1564.792
222,1566.417
223,1554.028
224,1552.736
225,1556.069
226,1553.306
227,1545.375
228,1542.861
229,1545.306
230,1553.139
231,1530.486
232,1544.069
233,1536.097
234,1536.903
235,1543.014
236,1531.653
237,1520.403
238,1531.528
239,1531.667
240,1520.222
241,1532.069
242,1531.764
243,1527.208
244,1517.125
245,1523.514
246,1517.292
247,1513.875
248,1515.681
249,1513.917
250,1525.431
251,1511.444
252,1516.333
253,1504.917
254,1506.500
255,1499.319
256,1499.639
257,1502.764
258,1487.556
259,1500.028
260,1492.139
261,1484.375
262,1478.250
263,1468.833
264,1475.361
265,1465.569
266,1462.111
267,1458.000
268,1452.931
269,1452.347
270,1452.597
271,1452.528
272,1443.681
273,1450.569
274,1444.458
275,1433.736
276,1427.653
277,1422.181
278,1427.111
279,1417.292
280,1417.153
281,1420.833
282,1419.361
283,1415.708
284,1400.347
285,1404.889
286,1406.208
287,1405.375
288,1389.347
289,1398.278
290,1402.319
291,1400.722
292,1391.917
293,1404.167
294,1397.417
295,1393.264
296,1399.111
297,1391.931
298,1392.347
299,1401.000
300,1389.361
301,1398.611
302,1390.153
303,1386.194
304,1379.944
305,1393.292
306,1380.139
307,1386.000
308,1381.736
309,1373.944
310,1393.167
311,1391.319
312,1376.222
313,1388.958
314,1381.042
315,1376.597
316,1378.972
317,1378.014
318,1380.458
319,1372.583
320,1376.278
321,1371.000
322,1375.806
323,1368.444
324,1369.361
325,1376.736
326,1368.278
327,1371.722
328,1361.069
329,1354.847
330,1347.806
331,1351.347
332,1348.694
333,1351.125
334,1339.042
335,1338.542
336,1342.056
337,1325.569
338,1325.611
339,1328.431
340,1333.319
341,1327.806
342,1325.736
343,1329.833
344,1321.917
345,1310.764
346,1306.458
347,1317.542
348,1310.667
349,1310.056
350,1307.000
351,1299.250
352,1297.028
353,1299.583
354,1307.167
355,1294.847
356,1282.486
357,1295.583
358,1293.542
359,1297.028
360,1304.931
361,1301.875
362,1300.264
363,1296.528
364,1300.681
365,1297.639
366,1302.125
367,1294.000
368,1296.264
369,1297.292
370,1307.250
371,1292.222
372,1298.069
373,1302.556
374,1292.528
375,1309.611
376,1302.208
377,1301.014
378,1294.944
379,1302.556
380,1294.389
381,1302.458
382,1300.486
383,1300.972
384,1286.292
385,1304.153
386,1293.944
387,1304.375
388,1296.958
389,1294.736
390,1290.583
391,1298.986
392,1292.875
393,1289.167
394,1282.722
395,1289.375
396,1285.333
397,1274.111
398,1279.139
399,1275.542
400,1277.431
401,1276.833
402,1271.278
403,1270.014
404,1267.028
405,1270.069
406,1258.806
407,1258.569
408,1267.806
409,1256.389
410,1254.250
411,1250.472
412,1259.889
413,1248.361
414,1247.972
415,1240.861
416,1244.653
417,1257.625
418,1242.000
419,1250.889
420,1237.431
421,1246.556
422,1235.750
423,1249.389
424,1241.278
425,1244.750
426,1235.472
427,1234.778
428,1244.944
429,1237.597
430,1244.153
431,1242.153
432,1236.903
433,1247.556
434,1243.778
435,1248.389
436,1244.986
437,1254.125
438,1249.222
439,1249.278
440,1239.389
441,1243.528
442,1250.042
443,1248.875
444,1245.056
445,1244.569
446,1251.958
447,1250.903
448,1250.750
449,1248.833
450,1245.833
451,1238.069
452,1255.306
453,1240.417
454,1244.944
455,1242.333
456,1254.514
457,1241.347
458,1241.986
459,1242.819
460,1234.194
461,1235.417
462,1235.319
463,1225.111
464,1229.056
465,1237.778
466,1224.861
467,1228.736
468,1227.861
469,1231.264
470,1231.111
471,1227.611
472,1223.986
473,1218.417
474,1221.667
475,1225.125
476,1212.500
477,1214.444
478,1207.236
479,1217.208
480,1201.639
481,1218.569
482,1198.347
483,1187.889
484,1206.417
485,1206.542
486,1205.708
487,1203.583
488,1200.597
489,1210.222
490,1204.806
491,1208.097
492,1208.583
493,1203.861
494,1209.736
495,1205.569
496,1205.542
497,1214.917
498,1208.806
