Slice,Mean
1,5648.150
2,3859.450
3,2643.000
4,1828.550
5,1327.267
6,1031.908
7,849.550
8,743.833
9,683.317
10,646.267
11,620.125
12,608.558
13,601.608
14,592.608
15,592.600
16,589.158
17,577.967
18,582.317
19,579.875
20,578.500
21,581.208
22,579.583
23,581.400
24,575.033
25,578.975
26,577.917
27,574.775
28,577.525
29,575.258
30,575.208
31,570.642
32,579.200
33,573.808
34,575.775
35,571.450
36,571.142
37,571.608
38,568.533
39,569.275
40,568.808
41,571.625
42,569.375
43,572.242
44,570.033
45,566.100
46,570.267
47,570.433
48,569.908
49,567.950
50,562.075
51,564.383
52,566.242
53,566.442
54,567.275
55,563.608
56,566.958
57,564.950
58,562.725
59,560.842
60,561.492
61,560.183
62,560.200
63,560.042
64,562.242
65,554.892
66,556.108
67,563.508
68,553.758
69,559.350
70,555.267
71,556.817
72,553.617
73,552.908
74,554.300
75,553.817
76,556.083
77,555.908
78,550.483
79,555.433
80,549.500
81,554.383
82,553.567
83,550.242
84,551.867
85,551.900
86,552.075
87,551.017
88,551.583
89,548.517
90,550.317
91,548.258
92,550.092
93,547.825
94,550.267
95,547.417
96,548.183
97,549.175
98,545.267
99,550.425
100,549.517
101,548.158
102,549.500
103,548.042
104,543.608
105,550.267
106,545.883
107,548.583
108,546.492
109,547.567
110,549.042
111,548.483
112,546.683
113,550.208
114,545.158
115,546.017
116,547.500
117,542.317
118,544.592
119,541.500
120,547.358
121,544.067
122,542.733
123,539.625
124,543.158
125,539.725
126,546.142
127,543.350
128,540.375
129,542.033
130,538.542
131,541.600
132,540.908
133,543.458
134,538.867
135,540.200
136,535.850
137,539.508
138,536.800
139,541.550
140,533.758
141,539.633
142,539.558
143,538.600
144,533.100
145,535.183
146,534.433
147,536.650
148,539.283
149,531.467
150,536.975
151,537.542
152,534.225
153,535.675
154,533.358
155,533.633
156,535.625
157,530.133
158,533.625
159,531.200
160,534.842
161,532.417
162,537.925
163,529.933
164,533.950
165,533.467
166,532.342
167,532.183
168,535.200
169,532.492
170,533.542
171,530.125
172,533.433
173,534.175
174,531.600
175,531.642
176,530.600
177,531.983
178,534.717
179,533.783
180,530.667
181,532.683
182,531.017
183,527.692
184,536.292
185,533.333
186,538.050
187,530.592
188,531.167
189,527.608
190,529.350
191,531.283
192,529.400
193,526.400
194,528.325
195,524.408
196,529.483
197,526.850
198,523.433
199,527.483
200,526.108
201,522.567
202,531.400
203,523.917
204,524.875
205,526.383
206,519.983
207,525.917
208,524.258
209,523.075
210,519.117
211,523.517
212,515.875
213,521.083
214,521.842
215,526.442
216,517.650
217,520.692
218,520.833
219,519.317
220,520.600
221,517.833
222,518.633
223,521.658
224,520.067
225,517.533
226,519.617
227,519.125
228,519.125
229,520.808
230,520.325
231,519.450
232,518.092
233,518.250
234,521.725
235,519.058
236,518.483
237,515.292
238,521.833
239,522.333
240,514.750
241,517.108
242,518.833
243,519.575
244,520.300
245,514.742
246,522.017
247,520.033
248,515.925
249,519.183
250,518.633
251,517.317
252,514.275
253,517.642
254,518.875
255,515.433
256,519.017
257,519.567
258,516.267
259,520.333
260,514.933
261,512.508
262,514.375
263,515.550
264,514.692
265,510.150
266,510.525
267,510.917
268,514.067
269,512.158
270,510.950
271,515.075
272,516.692
273,512.842
274,506.217
275,513.758
276,513.025
277,513.958
278,509.475
279,509.208
280,508.592
281,509.500
282,508.767
283,509.133
284,509.792
285,509.042
286,508.792
287,509.025
288,509.700
289,507.400
290,509.650
291,513.442
292,510.575
293,508.942
294,515.308
295,512.458
296,506.025
297,509.150
298,512.992
299,504.492
300,511.092
301,510.775
302,506.383
303,509.283
304,511.050
305,511.500
306,509.008
307,508.242
308,510.167
