X,Y
456,10707.532
457,10705.321
458,10701.337
459,10698.791
460,10694.161
461,10690.296
462,10687.700
463,10682.881
464,10680.242
465,10675.154
466,10673.012
467,10670.200
468,10665.919
469,10662.702
470,10659.023
471,10656.740
472,10652.551
473,10650.361
474,10646.961
475,10643.520
476,10639.522
477,10636.094
478,10633.947
479,10630.821
480,10627.651
481,10623.066
482,10620.125
483,10615.220
484,10612.356
485,10609.022
486,10605.598
487,10602.766
488,10598.478
489,10595.646
490,10591.586
491,10589.005
492,10585.496
493,10582.000
494,10578.327
495,10575.747
496,10571.319
497,10567.980
498,10566.179
499,10562.363
500,10558.339
501,10555.247
502,10551.587
503,10547.959
504,10544.038
505,10542.338
506,10536.915
507,10535.261
508,10531.055
509,10528.354
510,10524.672
511,10520.812
512,10517.225
513,10514.872
514,10511.590
515,10508.253
516,10504.324
517,10500.831
518,10498.313
519,10494.386
520,10490.530
521,10488.104
522,10485.398
523,10481.194
524,10477.699
525,10474.948
526,10470.405
527,10467.004
528,10464.256
529,10460.137
530,10456.281
531,10453.905
532,10451.137
533,10446.722
534,10443.419
535,10442.327
536,10437.412
537,10433.844
538,10430.359
539,10427.138
540,10424.694
541,10419.529
542,10418.106
543,10414.107
544,10410.572
545,10408.174
546,10403.710
547,10401.085
548,10397.510
549,10394.595
550,10390.464
551,10388.823
552,10384.386
553,10381.708
554,10378.394
555,10374.580
556,10371.812
557,10368.219
558,10365.281
559,10361.242
560,10358.598
561,10354.478
562,10350.741
563,10348.645
564,10344.574
565,10341.978
566,10338.487
567,10334.431
568,10331.614
569,10328.522
570,10325.466
571,10323.064
572,10319.886
573,10315.999
574,10312.574
575,10309.729
576,10306.650
577,10303.325
578,10299.291
579,10296.524
580,10292.604
581,10289.561
582,10286.878
583,10283.569
584,10280.170
585,10277.144
586,10273.373
587,10270.721
588,10267.095
589,10264.087
590,10260.704
591,10257.394
592,10253.537
593,10251.622
594,10249.011
595,10245.203
596,10243.102
597,10238.509
598,10236.941
599,10231.438
600,10228.627
601,10227.147
602,10223.095
603,10219.423
604,10217.477
605,10213.759
606,10209.712
607,10207.377
608,10203.694
609,10200.639
610,10197.584
611,10194.791
612,10191.449
613,10188.099
614,10184.358
615,10182.696
616,10179.661
617,10176.436
618,10172.831
619,10169.697
620,10166.392
621,10163.298
622,10160.391
623,10156.859
624,10154.119
625,10151.590
626,10148.614
627,10144.887
628,10142.454
629,10138.755
630,10135.811
631,10133.517
632,10130.158
633,10126.476
634,10124.025
635,10120.135
636,10116.908
637,10114.551
638,10110.542
639,10108.209
640,10105.758
641,10102.062
642,10099.483
643,10096.397
644,10093.265
645,10088.908
646,10087.092
647,10083.643
648,10080.234
649,10077.714
650,10074.045
651,10071.021
652,10067.151
653,10065.054
654,10061.822
655,10058.194
656,10055.776
657,10051.976
658,10049.271
659,10046.465
660,10043.913
661,10039.945
662,10037.357
663,10033.597
664,10031.351
665,10028.933
666,10025.666
667,10022.603
668,10019.934
669,10016.054
670,10013.328
671,10009.471
672,10006.973
673,10004.555
674,10002.292
675,9998.134
676,9996.139
677,9992.850
678,9989.544
679,9986.138
680,9983.614
681,9980.248
682,9976.955
683,9974.332
684,9971.580
685,9969.492
686,9966.390
687,9963.199
688,9959.023
689,9957.785
690,9954.354
691,9951.045
692,9947.775
693,9945.185
694,9943.059
695,9940.066
696,9936.106
697,9932.741
698,9930.028
699,9927.726
700,9924.410
701,9921.814
702,9919.384
703,9916.368
704,9913.003
705,9909.882
706,9907.248
707,9905.839
708,9902.580
709,9898.542
710,9895.775
711,9894.184
712,9892.051
713,9888.376
714,9885.586
715,9882.519
716,9880.464
717,9877.174
718,9874.118
719,9870.601
720,9867.870
721,9866.763
722,9862.891
723,9859.806
724,9857.372
725,9854.943
726,9852.025
727,9848.640
728,9846.616
729,9844.046
730,9839.037
731,9837.601
732,9835.073
733,9832.650
734,9829.809
735,9826.416
736,9825.572
737,9821.390
738,9818.970
739,9815.702
740,9812.132
741,9810.075
742,9807.448
743,9805.652
744,9802.247
745,9798.535
746,9796.870
747,9793.806
748,9791.377
749,9788.089
750,9785.619
751,9782.920
752,9781.101
753,9777.094
754,9775.222
755,9772.292
756,9769.202
757,9767.417
758,9764.807
759,9761.233
760,9759.104
761,9757.154
762,9753.978
763,9750.980
764,9748.258
765,9746.032
766,9743.239
767,9739.911
768,9737.751
769,9734.664
770,9732.027
771,9729.194
772,9726.922
773,9724.454
774,9721.110
775,9718.961
776,9716.000
777,9714.100
778,9711.351
779,9709.005
780,9705.560
781,9703.302
782,9700.487
783,9698.955
784,9695.731
785,9692.956
786,9690.938
787,9687.463
788,9683.898
789,9680.949
790,9680.810
791,9676.673
792,9674.585
793,9672.839
794,9669.870
795,9667.096
796,9663.869
797,9661.658
798,9657.400
799,9655.772
800,9653.268
801,9651.374
802,9648.035
803,9646.266
804,9643.420
805,9640.900
806,9637.429
807,9636.673
808,9634.395
809,9631.200
810,9628.804
811,9626.404
812,9624.588
813,9622.103
814,9619.739
815,9618.003
816,9614.650
817,9612.066
818,9610.477
819,9607.639
820,9604.806
821,9602.372
822,9600.813
823,9597.453
824,9596.329
825,9593.397
826,9591.730
827,9588.495
828,9585.681
829,9582.326
830,9580.200
831,9577.151
832,9575.414
833,9573.064
834,9570.546
835,9567.184
836,9566.084
837,9563.633
838,9561.148
839,9559.181
840,9556.648
841,9552.806
842,9551.303
843,9549.237
844,9545.813
845,9544.023
846,9540.958
847,9538.955
848,9537.202
849,9534.682
850,9531.958
851,9529.259
852,9527.661
853,9524.273
854,9522.948
855,9520.342
856,9516.932
857,9515.060
858,9512.498
859,9511.056
860,9509.495
861,9505.377
862,9502.445
863,9501.160
864,9498.111
865,9497.125
866,9495.540
867,9491.636
868,9489.377
869,9487.013
870,9484.324
871,9482.471
872,9479.641
873,9477.751
874,9475.930
875,9473.551
876,9472.021
877,9469.420
878,9466.366
879,9464.034
880,9462.168
881,9459.297
882,9456.544
883,9455.243
884,9451.606
885,9450.722
886,9448.746
887,9446.089
888,9444.340
889,9441.169
890,9437.798
891,9436.530
892,9434.293
893,9432.203
894,9428.517
895,9427.589
896,9423.557
897,9421.897
898,9420.035
899,9418.680
900,9416.530
901,9414.104
902,9411.574
903,9408.711
904,9407.301
905,9404.143
906,9402.940
907,9399.487
908,9398.568
909,9396.999
910,9392.574
911,9391.110
912,9389.051
913,9386.529
914,9383.996
915,9382.675
916,9379.008
917,9378.101
918,9375.061
919,9372.990
920,9371.354
921,9368.196
922,9366.711
923,9365.002
924,9361.865
925,9359.529
926,9358.343
927,9355.361
928,9353.906
929,9351.249
930,9349.230
931,9346.921
932,9344.608
933,9342.286
934,9339.842
935,9337.852
936,9335.700
937,9334.021
938,9331.041
939,9330.158
940,9326.956
941,9325.812
942,9323.185
943,9319.824
944,9318.188
945,9317.128
946,9314.795
947,9312.008
948,9309.751
949,9308.277
950,9305.297
951,9303.663
952,9301.110
953,9299.331
954,9296.917
955,9294.547
956,9292.880
957,9290.440
958,9289.553
959,9287.120
960,9284.261
961,9282.215
962,9279.875
963,9278.378
964,9274.704
965,9274.063
966,9271.047
967,9269.506
968,9267.988
969,9265.942
970,9263.936
971,9262.132
972,9259.138
973,9257.523
974,9255.453
975,9252.041
976,9250.191
977,9248.944
978,9247.839
979,9244.684
980,9241.858
981,9240.222
982,9237.574
983,9235.439
984,9233.752
985,9230.908
986,9228.955
987,9226.646
988,9224.638
989,9222.423
990,9220.359
991,9218.784
992,9215.925
993,9214.588
994,9212.460
995,9210.302
996,9208.143
997,9204.883
998,9204.166
999,9200.874
1000,9199.282
1001,9197.939
1002,9196.072
1003,9192.907
1004,9191.952
1005,9189.409
1006,9187.043
1007,9185.857
1008,9184.171
1009,9181.032
1010,9178.727
1011,9177.166
1012,9174.703
1013,9172.583
1014,9171.297
1015,9169.717
1016,9166.237
1017,9165.353
1018,9162.682
1019,9160.469
1020,9158.438
1021,9156.879
1022,9154.804
1023,9153.619
1024,9150.895
1025,9149.161
1026,9146.603
1027,9144.248
1028,9142.521
1029,9140.134
1030,9138.831
1031,9137.147
1032,9134.438
1033,9133.077
1034,9130.594
1035,9128.973
1036,9126.784
1037,9125.324
1038,9122.776
1039,9121.079
1040,9118.729
1041,9116.877
1042,9116.033
1043,9113.150
1044,9110.643
1045,9110.175
1046,9106.914
1047,9105.200
1048,9102.191
1049,9101.223
1050,9099.157
1051,9098.639
1052,9095.794
1053,9093.808
1054,9093.034
1055,9089.885
1056,9087.307
1057,9085.753
1058,9083.104
1059,9082.558
1060,9080.395
1061,9077.421
1062,9076.131
1063,9074.431
1064,9073.030
1065,9070.235
1066,9068.527
1067,9067.083
1068,9064.617
1069,9063.070
1070,9060.473
1071,9059.806
1072,9057.372
1073,9055.264
1074,9053.838
1075,9052.021
1076,9050.672
1077,9047.763
1078,9045.838
1079,9043.426
1080,9040.944
1081,9039.950
1082,9037.715
1083,9036.354
1084,9033.506
1085,9031.757
1086,9030.521
1087,9027.964
1088,9028.189
1089,9023.879
1090,9022.050
1091,9021.107
1092,9019.135
1093,9018.328
1094,9016.059
1095,9013.831
1096,9011.933
1097,9010.656
1098,9008.062
1099,9006.571
1100,9004.814
1101,9002.971
1102,9001.215
1103,8999.933
1104,8997.605
1105,8996.088
1106,8994.113
1107,8992.643
1108,8990.461
1109,8987.832
1110,8986.484
1111,8984.208
1112,8982.554
1113,8981.479
1114,8978.405
1115,8977.042
1116,8975.096
1117,8973.637
1118,8971.160
1119,8969.681
1120,8967.664
1121,8966.987
1122,8964.780
1123,8963.378
1124,8960.992
1125,8958.954
1126,8957.658
1127,8954.733
1128,8953.099
1129,8952.069
1130,8949.967
1131,8948.666
1132,8946.271
1133,8944.163
1134,8942.604
1135,8940.696
1136,8939.708
1137,8937.666
1138,8936.011
1139,8934.616
1140,8931.776
1141,8930.636
1142,8928.415
1143,8926.706
1144,8925.150
1145,8923.764
1146,8921.679
1147,8919.936
1148,8918.785
1149,8916.612
1150,8914.814
1151,8913.652
1152,8912.517
1153,8910.063
1154,8908.175
1155,8905.859
1156,8904.676
1157,8902.590
1158,8901.319
1159,8899.328
1160,8897.870
1161,8897.102
1162,8894.062
1163,8893.781
1164,8891.137
1165,8890.458
1166,8888.215
1167,8885.881
1168,8885.139
1169,8882.242
1170,8880.520
1171,8879.216
1172,8878.111
1173,8875.437
1174,8875.100
1175,8872.756
1176,8870.719
1177,8870.253
1178,8868.229
1179,8865.558
1180,8863.773
1181,8862.642
1182,8860.452
1183,8859.178
1184,8858.521
1185,8855.526
1186,8854.481
1187,8852.152
1188,8850.410
1189,8849.397
1190,8847.255
1191,8844.978
1192,8844.629
1193,8842.177
1194,8841.148
1195,8839.121
1196,8837.465
1197,8836.657
1198,8834.070
1199,8832.297
1200,8831.076
1201,8828.394
1202,8826.859
1203,8825.203
1204,8823.511
1205,8821.759
1206,8821.071
1207,8818.773
1208,8817.153
1209,8815.604
1210,8813.342
1211,8812.562
1212,8809.854
1213,8808.377
1214,8807.080
1215,8804.709
1216,8803.485
1217,8801.645
1218,8800.718
1219,8798.482
1220,8797.183
1221,8795.885
1222,8794.203
1223,8792.469
1224,8791.073
1225,8789.063
1226,8787.056
1227,8785.792
1228,8784.659
1229,8783.428
1230,8781.387
1231,8779.562
1232,8777.529
1233,8776.739
1234,8773.880
1235,8773.436
1236,8771.704
1237,8770.032
1238,8766.996
1239,8765.655
1240,8763.684
1241,8762.276
1242,8761.892
1243,8759.794
1244,8758.329
1245,8756.253
1246,8754.900
1247,8752.998
1248,8752.273
1249,8750.713
1250,8747.703
1251,8747.224
1252,8746.019
1253,8743.477
1254,8742.162
1255,8740.536
1256,8739.037
1257,8737.785
1258,8736.043
1259,8734.265
1260,8732.219
1261,8730.854
1262,8729.311
1263,8728.447
1264,8727.142
1265,8724.158
1266,8723.331
1267,8722.713
1268,8720.157
1269,8718.642
1270,8716.736
1271,8715.657
1272,8714.237
1273,8712.352
1274,8709.990
1275,8709.449
1276,8706.609
1277,8706.296
1278,8704.786
1279,8703.146
1280,8701.258
1281,8700.093
1282,8698.273
1283,8697.103
1284,8695.396
1285,8693.223
1286,8691.962
1287,8689.564
1288,8689.004
1289,8687.532
1290,8685.634
1291,8684.251
1292,8681.889
1293,8681.038
1294,8679.656
1295,8678.557
1296,8676.619
1297,8674.590
1298,8673.675
1299,8672.216
1300,8669.695
1301,8669.183
1302,8666.931
1303,8665.286
1304,8663.636
1305,8662.143
1306,8660.782
1307,8659.556
1308,8658.115
1309,8656.523
1310,8655.044
1311,8653.912
1312,8651.134
1313,8650.123
1314,8648.649
1315,8646.255
1316,8644.690
1317,8643.687
1318,8641.771
1319,8640.177
1320,8639.660
1321,8637.751
1322,8636.414
1323,8634.928
1324,8632.301
1325,8631.026
1326,8629.920
1327,8628.681
1328,8624.932
1329,8625.508
1330,8623.658
1331,8622.416
1332,8620.756
1333,8618.990
1334,8616.688
1335,8615.559
1336,8614.016
1337,8612.582
1338,8611.062
1339,8609.344
1340,8608.291
1341,8607.181
1342,8605.031
1343,8603.301
1344,8601.064
1345,8600.904
1346,8598.896
1347,8598.577
1348,8595.032
1349,8594.723
1350,8592.979
1351,8591.441
1352,8589.364
1353,8588.154
1354,8587.214
1355,8585.707
1356,8584.095
1357,8581.673
1358,8580.326
1359,8578.212
1360,8577.877
1361,8575.270
1362,8574.712
1363,8571.342
1364,8571.845
1365,8569.550
1366,8567.853
1367,8566.618
1368,8565.956
1369,8564.450
1370,8562.498
1371,8561.221
1372,8560.107
1373,8557.531
1374,8555.970
1375,8555.558
1376,8554.083
1377,8551.513
1378,8550.390
1379,8549.527
1380,8547.596
1381,8546.302
1382,8545.168
1383,8543.021
1384,8541.104
1385,8539.266
1386,8538.575
1387,8536.483
1388,8535.582
1389,8534.577
1390,8533.963
1391,8531.848
1392,8530.052
1393,8528.938
1394,8527.311
1395,8526.735
1396,8524.130
1397,8522.247
1398,8520.828
1399,8519.942
1400,8518.986
1401,8516.377
1402,8515.000
1403,8513.800
1404,8511.834
1405,8510.836
1406,8509.354
1407,8507.607
1408,8506.840
1409,8505.245
1410,8503.342
1411,8501.070
1412,8500.988
1413,8499.755
1414,8498.290
1415,8496.772
1416,8496.374
1417,8493.831
1418,8492.573
1419,8490.879
1420,8489.366
1421,8488.517
1422,8487.081
1423,8485.969
1424,8483.069
1425,8481.958
1426,8481.666
1427,8480.303
1428,8478.054
1429,8477.567
1430,8474.875
1431,8474.376
1432,8472.781
1433,8471.672
1434,8469.660
1435,8469.076
1436,8467.905
1437,8465.566
1438,8464.734
1439,8463.275
1440,8461.740
1441,8460.368
1442,8458.609
1443,8458.234
1444,8456.363
1445,8454.173
1446,8453.494
1447,8452.168
1448,8450.511
1449,8450.159
1450,8447.632
1451,8446.557
1452,8445.699
1453,8443.943
1454,8441.639
1455,8440.285
1456,8439.080
1457,8437.440
1458,8436.008
1459,8434.917
1460,8433.084
1461,8432.011
1462,8431.342
1463,8430.517
1464,8428.021
1465,8427.157
1466,8426.070
1467,8424.650
1468,8422.180
1469,8421.551
1470,8419.905
1471,8418.728
1472,8416.977
1473,8415.714
1474,8415.161
1475,8413.540
1476,8412.181
1477,8410.026
1478,8409.113
1479,8408.756
1480,8407.306
1481,8406.422
1482,8405.127
1483,8402.965
1484,8401.825
1485,8400.571
1486,8399.766
1487,8397.710
1488,8396.457
1489,8395.492
1490,8393.646
1491,8392.249
1492,8391.643
1493,8390.986
1494,8389.210
1495,8388.063
1496,8387.064
1497,8385.726
1498,8383.004
1499,8383.163
1500,8381.011
1501,8378.970
1502,8378.600
1503,8377.359
1504,8375.975
1505,8375.193
1506,8373.810
1507,8372.235
1508,8369.879
1509,8368.500
1510,8367.777
1511,8366.729
1512,8365.312
1513,8364.002
1514,8363.773
1515,8361.994
1516,8361.335
1517,8359.568
1518,8357.571
1519,8357.369
1520,8355.619
1521,8354.169
1522,8352.521
1523,8351.021
1524,8350.517
1525,8349.153
1526,8346.476
1527,8346.519
1528,8344.616
1529,8343.615
1530,8342.481
1531,8340.647
1532,8339.753
1533,8337.962
1534,8337.586
1535,8336.306
1536,8334.452
1537,8333.756
1538,8331.968
1539,8330.639
1540,8328.833
1541,8328.774
1542,8327.133
1543,8325.169
1544,8324.476
1545,8323.428
1546,8321.333
1547,8320.341
1548,8318.448
