X,Y
0,11719.124
1,12163.943
2,12159.787
3,12153.828
4,12149.578
5,12143.977
6,12140.673
7,12137.810
8,12134.706
9,12132.971
10,12128.860
11,12126.731
12,12123.397
13,12121.803
14,12119.206
15,12116.262
16,12113.017
17,12112.561
18,12110.024
19,12106.705
20,12105.140
21,12103.005
22,12101.040
23,12098.032
24,12097.729
25,12095.724
26,12092.689
27,12092.948
28,12091.459
29,12087.639
30,12086.128
31,12084.204
32,12082.273
33,12080.475
34,12079.123
35,12077.344
36,12076.124
37,12073.349
38,12071.734
39,12070.731
40,12067.110
41,12064.834
42,12063.962
43,12062.244
44,12061.001
45,12058.854
46,12056.720
47,12056.134
48,12055.189
49,12051.914
50,12049.177
51,12048.920
52,12045.680
53,12044.729
54,12044.062
55,12040.807
56,12039.888
57,12037.242
58,12035.677
59,12033.531
60,12031.645
61,12030.592
62,12029.288
63,12027.150
64,12023.044
65,12023.415
66,12020.727
67,12021.015
68,12018.003
69,12016.586
70,12012.842
71,12012.500
72,12011.699
73,12009.110
74,12006.967
75,12005.416
76,12003.543
77,12001.471
78,11999.388
79,11997.471
80,11995.262
81,11993.095
82,11991.928
83,11990.017
84,11987.343
85,11984.466
86,11982.397
87,11982.343
88,11978.254
89,11976.027
90,11974.179
91,11971.905
92,11970.512
93,11967.899
94,11965.787
95,11965.253
96,11962.378
97,11960.049
98,11958.650
99,11956.623
100,11952.867
101,11952.870
102,11950.083
103,11948.756
104,11944.652
105,11943.652
106,11942.640
107,11939.715
108,11937.006
109,11935.459
110,11932.451
111,11930.926
112,11928.038
113,11927.109
114,11924.801
115,11923.258
116,11921.783
117,11918.715
118,11916.993
119,11915.565
120,11912.621
121,11911.233
122,11908.065
123,11905.313
124,11904.263
125,11903.085
126,11899.666
127,11897.043
128,11896.071
129,11893.399
130,11892.711
131,11889.175
132,11887.198
133,11885.608
134,11883.687
135,11880.438
136,11879.339
137,11876.851
138,11875.338
139,11871.653
140,11869.657
141,11869.648
142,11866.604
143,11863.997
144,11861.973
145,11860.255
146,11856.598
147,11856.108
148,11853.056
149,11850.906
150,11849.629
151,11847.166
152,11844.801
153,11843.142
154,11840.854
155,11836.426
156,11836.292
157,11833.769
158,11830.837
159,11828.966
160,11827.028
161,11825.619
162,11822.013
163,11819.209
164,11819.008
165,11816.763
166,11813.507
167,11811.709
168,11809.817
169,11807.416
170,11804.793
171,11802.390
172,11801.715
173,11799.747
174,11796.859
175,11794.450
176,11792.813
177,11790.883
178,11788.269
179,11784.439
180,11783.890
181,11781.732
182,11778.766
183,11777.458
184,11773.869
185,11772.499
186,11769.639
187,11768.859
188,11766.663
189,11764.002
190,11760.280
191,11760.142
192,11757.031
193,11754.709
194,11752.821
195,11750.159
196,11748.464
197,11745.029
198,11744.772
199,11741.857
200,11737.718
201,11736.639
202,11735.110
203,11732.068
204,11729.402
205,11727.556
206,11725.958
207,11722.350
208,11720.965
209,11718.612
210,11716.064
211,11713.990
212,11713.117
213,11709.707
214,11708.933
215,11705.152
216,11702.805
217,11700.662
218,11699.153
219,11695.787
220,11693.711
221,11691.661
222,11688.426
223,11686.797
224,11683.732
225,11682.392
226,11679.487
227,11676.887
228,11676.220
229,11673.239
230,11671.266
231,11668.760
232,11666.674
233,11664.199
234,11660.712
235,11660.290
236,11656.610
237,11655.280
238,11653.285
239,11651.164
240,11648.242
241,11647.349
242,11645.044
243,11643.786
244,11640.652
245,11638.958
246,11636.947
247,11634.798
248,11632.805
249,11632.348
250,11630.303
251,11627.560
252,11625.721
253,11623.510
254,11620.834
255,11619.562
256,11618.010
257,11615.368
258,11611.975
259,11609.838
260,11607.529
261,11606.270
262,11603.191
263,11601.088
264,11599.741
265,11597.266
266,11594.924
267,11592.594
268,11589.935
269,11587.320
270,11585.537
271,11582.026
272,11580.152
273,11579.589
274,11576.379
275,11573.607
276,11572.474
277,11569.964
278,11567.628
279,11564.350
280,11562.632
281,11559.522
282,11558.030
283,11554.904
284,11552.773
285,11550.500
286,11546.917
287,11545.771
288,11542.460
289,11540.555
290,11537.841
291,11536.634
292,11533.393
293,11529.568
294,11529.112
295,11526.299
296,11524.332
297,11521.510
298,11519.064
299,11515.893
300,11512.433
301,11508.730
302,11508.217
303,11505.602
304,11501.987
305,11501.012
306,11497.565
307,11495.732
308,11491.711
309,11489.444
310,11486.487
311,11483.392
312,11481.996
313,11478.360
314,11474.857
315,11471.373
316,11469.457
317,11467.066
318,11464.100
319,11460.848
320,11458.139
321,11455.304
322,11452.566
323,11449.088
324,11446.591
325,11442.545
326,11439.717
327,11437.235
328,11434.497
329,11431.661
330,11428.659
331,11424.914
332,11422.271
333,11418.420
334,11414.989
335,11412.550
336,11410.598
337,11405.954
338,11402.152
339,11399.650
340,11396.513
341,11393.799
342,11390.725
343,11386.039
344,11383.084
345,11380.962
346,11376.829
347,11373.936
348,11371.473
349,11366.741
350,11362.889
351,11360.862
352,11358.093
353,11354.545
354,11349.854
355,11348.275
356,11344.480
357,11340.834
358,11337.337
359,11333.688
360,11329.896
361,11327.677
362,11323.461
363,11320.166
364,11315.893
365,11312.409
366,11310.406
367,11305.152
368,11301.991
369,11299.830
370,11296.198
371,11291.561
372,11289.198
373,11285.762
374,11282.815
375,11279.651
376,11275.224
377,11271.725
378,11268.310
379,11265.677
380,11261.938
381,11258.662
382,11254.795
383,11252.080
384,11248.330
385,11244.255
386,11241.186
387,11238.723
388,11233.641
389,11231.847
390,11227.620
391,11224.079
392,11219.471
393,11216.525
394,11213.959
395,11209.906
396,11205.990
397,11204.834
398,11199.324
399,11196.026
400,11191.894
401,11189.390
402,11186.118
403,11182.178
404,11177.948
405,11174.675
406,11171.159
407,11167.539
408,11163.934
409,11160.836
410,11157.020
411,11154.498
412,11150.835
413,11146.345
414,11142.372
415,11140.013
416,11136.779
417,11131.861
418,11128.141
419,11124.707
420,11120.500
421,11117.133
422,11114.323
423,11109.572
424,11105.108
425,11103.894
426,11099.455
427,11095.904
428,11092.068
429,11089.984
430,11085.502
431,11082.725
432,11078.228
433,11074.529
434,11071.894
435,11067.664
436,11065.001
437,11061.874
438,11058.611
439,11053.709
440,11049.454
441,11046.763
442,11042.595
443,11040.154
444,11035.112
445,11031.386
446,11027.718
447,11024.533
448,11021.695
449,11018.190
450,11014.487
451,11011.195
452,11008.631
453,11004.218
454,10999.975
455,10997.870
456,10994.357
457,10990.749
458,10986.719
459,10983.919
460,10981.224
461,10977.278
462,10973.977
463,10970.868
464,10966.293
465,10963.257
466,10959.845
467,10956.435
468,10952.622
469,10948.064
470,10946.438
471,10943.486
472,10939.845
473,10936.583
474,10932.745
475,10929.313
476,10925.547
477,10922.260
478,10919.277
479,10915.930
480,10911.673
481,10908.557
482,10906.200
483,10902.424
484,10898.478
485,10896.128
486,10890.877
487,10889.162
488,10885.012
489,10880.871
490,10877.695
491,10875.052
492,10871.092
493,10866.784
494,10864.201
495,10861.078
496,10857.427
497,10854.837
498,10851.213
499,10847.744
500,10844.329
501,10841.406
502,10838.045
503,10834.128
504,10830.390
505,10827.058
506,10825.730
507,10821.181
508,10817.849
509,10813.928
510,10810.864
511,10806.672
512,10804.480
513,10801.973
514,10798.740
515,10794.647
516,10791.665
517,10787.396
518,10785.197
519,10782.463
520,10778.877
521,10774.712
522,10770.362
523,10767.335
524,10764.960
525,10760.301
526,10757.483
527,10754.729
528,10751.981
529,10748.184
530,10745.254
531,10741.948
532,10738.789
533,10734.835
534,10731.225
535,10729.702
536,10725.689
537,10722.835
538,10718.675
539,10716.888
540,10713.538
541,10708.969
542,10706.561
543,10703.106
544,10700.132
545,10694.826
546,10692.747
547,10689.650
548,10685.190
549,10682.986
550,10678.932
551,10676.759
552,10673.729
553,10669.425
554,10666.726
555,10663.742
556,10659.743
557,10657.345
558,10653.915
559,10650.771
560,10647.662
561,10643.583
562,10640.193
563,10637.938
564,10635.468
565,10631.725
566,10628.282
567,10625.456
568,10621.686
569,10617.911
570,10614.744
571,10612.802
572,10610.793
573,10606.307
574,10603.069
575,10600.782
576,10597.411
577,10595.612
578,10591.793
579,10588.965
580,10584.940
581,10582.371
582,10579.107
583,10575.995
584,10573.326
585,10570.134
586,10567.069
587,10562.968
588,10559.992
589,10557.864
590,10553.830
591,10552.063
592,10548.691
593,10546.092
594,10541.399
595,10538.562
596,10536.428
597,10534.234
